City,lat,lng,Administration,Status,Population
Oeverlida,57.3509,12.8992,Vaestra Goetaland,,498
Ekedalen,58.1996,13.8407,Vaestra Goetaland,,483
Travad,58.2504,13.0862,Vaestra Goetaland,,477
Torbjoerntorp,58.2109,13.6017,Vaestra Goetaland,,457
Rydal,57.5517,12.6922,Vaestra Goetaland,,434
Gudhem,58.2268,13.5667,Vaestra Goetaland,,434
Borgstena,57.8842,13.017,Vaestra Goetaland,,423
Oestadkulle,58.0164,12.6425,Vaestra Goetaland,,409
Torestorp,57.3892,12.6729,Vaestra Goetaland,,406
Jung,58.3258,13.1102,Vaestra Goetaland,,396
Berghem,57.464,12.5873,Vaestra Goetaland,,381
Aelgaras,58.8125,14.2541,Vaestra Goetaland,,374
Kebal,58.9486,11.0003,Vaestra Goetaland,,373
Nedre Gaerdsjoe,60.9397,15.2268,Dalarna,,372
Nitta,57.8277,13.1885,Vaestra Goetaland,,361
Grangaerde,60.2667,14.9833,Dalarna,,351
Skattungbyn,61.1848,14.8511,Dalarna,,350
Furusjoe,57.9286,13.9606,Vaestra Goetaland,,346
Rannavaeg,57.6769,13.4679,Vaestra Goetaland,,336
Oestra Froelunda,57.343,13.0323,Vaestra Goetaland,,329
Oexabaeck,57.3959,12.8046,Vaestra Goetaland,,326
Forsvik,58.58,14.4342,Vaestra Goetaland,,323
Fagerhult,58.0006,14.1238,Vaestra Goetaland,,322
