City,lat,lng,Administration,Status,Population
Al,60.6756,8.5769,Buskerud,minor,4674
Skodje,62.5161,6.6997,More og Romsdal,minor,4620
Gol,60.7503,8.9847,Buskerud,minor,4608
Sauda,59.6875,6.4372,Rogaland,minor,4595
Stranda,62.1667,6.9667,More og Romsdal,minor,4523
Hol,60.615,8.3022,Buskerud,minor,4441
Norheimsund,60.3667,6.1333,Hordaland,minor,4399
Ringebu,61.5356,10.3081,Oppland,minor,4392
Amot,61.1464,11.4158,Hedmark,,4356
Sauar,59.4333,9.2653,Telemark,,4338
Afjord,63.9778,10.3856,Sor Trondelag,,4288
Hoyanger,61.1881,5.8956,Sogn og Fjordane,minor,4101
Etne,59.6839,6.0475,Hordaland,minor,4062
Selbu,63.1983,11.1403,Sor Trondelag,minor,4062
Drangedal,59.1233,8.9819,Telemark,minor,4060
Bardu,68.8606,18.3505,Troms,minor,4005
Vaksdal,60.6069,5.8161,Hordaland,,3977
Meldal,63.046,9.7109,Sor Trondelag,minor,3954
Finnsnes,69.2406,18.0086,Troms,minor,3907
Roros,62.5747,11.3842,Sor Trondelag,minor,3851
Skiptvet,59.4806,11.1444,Ostfold,minor,3805
Suldalsosen,59.4683,6.4997,Rogaland,,3804
Vinje,59.8014,7.7792,Telemark,minor,3676
Valer,60.6784,11.8331,Hedmark,minor,3662
Tiller,63.3428,10.4261,Sor Trondelag,,3595
Vaga,61.875,9.0958,Oppland,minor,3570
Fosnavag,62.3417,5.6339,More og Romsdal,minor,3563
Leksvik,63.6767,10.61,Nord Trondelag,,3531
Kirkenes,69.7271,30.0451,Finnmark,minor,3529
Aukra,62.805,6.8872,More og Romsdal,,3509
Aure,63.2686,8.6078,More og Romsdal,minor,3507
Eide,62.9157,7.445,More og Romsdal,minor,3467
Sorreisa,69.0919,18.1936,Troms,minor,3464
Sagvag,59.7753,5.3947,Hordaland,,3419
Stokmarknes,68.5656,14.9058,Nordland,minor,3395
Maloy,61.9333,5.1167,Sogn og Fjordane,minor,3313
Nesbyen,60.5583,9.1011,Buskerud,minor,3273
Fitjar,59.9189,5.3714,Hordaland,minor,3189
Rjukan,59.8811,8.5831,Telemark,minor,3171
Hov,59.5656,10.0361,Buskerud,,3163
